age,gender,education_type,income_type,family_status,housing_type,family_members,annual_income,credit_amount,annuity_amount,goods_price,ext_source_1,ext_source_2,ext_source_3,employment_years,dti_ratio,lti_ratio,ext_source_mean,TARGET
59,M,Secondary / secondary special,Working,Married,Municipal apartment,4,207047.57,431625.19,34139.0,422964.75,0.728,0.712,0.7772,1.84,0.1649,2.0847,0.7391,0
49,F,Higher education,State servant,Married,House / apartment,2,134381.6,814677.07,36739.89,808070.46,0.2897,0.5453,0.4819,6.76,0.2734,6.0624,0.439,1
35,F,Higher education,Commercial associate,Married,Municipal apartment,4,166296.94,764537.57,34186.15,859190.35,0.5572,0.5102,0.5899,1.44,0.2056,4.5974,0.5524,1
63,M,Secondary / secondary special,Commercial associate,Married,House / apartment,3,140558.89,446798.73,20514.47,494138.13,0.5765,0.7376,0.772,4.42,0.1459,3.1787,0.6954,0
28,F,Incomplete higher,Working,Married,House / apartment,2,81057.07,792062.6,58876.6,660321.86,0.8625,0.8245,0.7247,0.75,0.7264,9.7715,0.8039,1
41,F,Higher education,Working,Married,House / apartment,3,112144.16,405008.49,25404.54,354062.7,0.6684,0.4395,0.5205,1.88,0.2265,3.6115,0.5428,0
59,F,Secondary / secondary special,Working,Single / not married,Rented apartment,2,114233.37,208235.31,15113.03,172973.17,0.3611,0.7148,0.8759,14.86,0.1323,1.8229,0.6506,0
39,F,Higher education,Working,Single / not married,House / apartment,2,118142.26,829336.92,43670.32,684283.49,0.5721,0.7715,0.6942,7.93,0.3696,7.0198,0.6793,1
43,M,Higher education,Working,Single / not married,House / apartment,4,277558.0,463632.98,26362.14,470060.29,0.8254,0.6871,0.3619,1.55,0.095,1.6704,0.6248,0
31,F,Lower secondary,Working,Married,House / apartment,1,187206.43,793500.47,46401.02,651348.22,0.8171,0.9201,0.9008,4.6,0.2479,4.2386,0.8794,0
31,M,Secondary / secondary special,Commercial associate,Married,House / apartment,3,82098.41,502897.01,30051.08,496630.12,0.7134,0.8268,0.6234,4.18,0.366,6.1255,0.7212,1
44,M,Secondary / secondary special,State servant,Single / not married,House / apartment,3,132092.83,467808.73,22191.68,496175.21,0.9202,0.5699,0.7072,0.34,0.168,3.5415,0.7324,0
56,M,Higher education,Pensioner,Married,House / apartment,3,251994.79,617687.78,43792.75,593741.67,0.8516,0.7769,0.5024,6.83,0.1738,2.4512,0.7103,0
60,M,Higher education,Working,Separated,Rented apartment,2,97135.41,205080.75,12792.43,223254.69,0.5284,0.9832,0.6,2.45,0.1317,2.1113,0.7039,0
44,M,Higher education,Pensioner,Single / not married,Municipal apartment,2,611287.77,311038.33,21090.45,344947.37,0.8087,0.5529,0.6816,0.13,0.0345,0.5088,0.6811,0
23,F,Higher education,Commercial associate,Married,Municipal apartment,3,216808.92,274370.83,9897.61,221985.07,0.8387,0.7501,0.6314,3.67,0.0457,1.2655,0.7401,0
42,F,Higher education,Commercial associate,Single / not married,With parents,4,230794.91,166233.23,6222.72,139584.94,0.6252,0.5999,0.6077,14.27,0.027,0.7203,0.611,0
22,M,Secondary / secondary special,Working,Married,House / apartment,2,172600.21,511301.07,27562.31,572074.76,0.7483,0.5162,0.5934,0.48,0.1597,2.9623,0.6193,1
44,F,Higher education,Working,Civil marriage,House / apartment,1,193920.55,352400.3,23605.45,362799.13,0.6401,0.6633,0.5913,3.92,0.1217,1.8172,0.6316,0
64,F,Higher education,Pensioner,Married,House / apartment,1,104815.48,436389.68,20628.99,465240.25,0.6579,0.6049,0.2793,2.7,0.1968,4.1634,0.514,0
50,M,Secondary / secondary special,Working,Civil marriage,House / apartment,3,147830.68,980116.49,36350.04,968931.04,0.8368,0.629,0.8502,15.23,0.2459,6.6299,0.772,1
58,M,Incomplete higher,Working,Single / not married,With parents,2,144192.39,693032.8,51029.38,677277.02,0.4297,0.6452,0.859,1.97,0.3539,4.8063,0.6446,1
22,F,Lower secondary,Working,Married,House / apartment,2,305326.87,498842.7,38628.81,461771.38,0.8255,0.9465,0.7462,13.32,0.1265,1.6338,0.8394,0
41,F,Incomplete higher,Working,Single / not married,House / apartment,3,408736.54,298201.64,20491.24,328336.77,0.6583,0.7477,0.7383,3.48,0.0501,0.7296,0.7148,0
53,F,Higher education,Commercial associate,Married,With parents,3,412636.52,463939.33,23207.82,498010.03,0.9893,0.8451,0.5143,3.33,0.0562,1.1243,0.7829,0
32,F,Higher education,Pensioner,Married,House / apartment,2,155139.78,934972.91,60998.72,804329.73,0.8014,0.8195,0.5169,5.72,0.3932,6.0266,0.7126,1
42,M,Incomplete higher,Commercial associate,Married,House / apartment,3,131381.31,299580.49,14572.72,259059.49,0.7843,0.9483,0.864,5.54,0.1109,2.2802,0.8655,0
64,M,Incomplete higher,Pensioner,Married,House / apartment,5,178674.8,796410.58,62678.64,703062.34,0.527,0.6009,0.7311,0.58,0.3508,4.4573,0.6197,0
45,F,Secondary / secondary special,Pensioner,Married,House / apartment,2,81314.61,265633.92,23408.81,305355.77,0.305,0.4716,0.475,6.0,0.2879,3.2667,0.4172,0
47,M,Higher education,Working,Married,House / apartment,3,420756.31,245292.33,9371.24,243040.1,0.8002,0.8022,0.8667,0.63,0.0223,0.583,0.8231,0
62,F,Higher education,Working,Married,House / apartment,2,552188.48,1374222.01,103814.75,1344586.76,0.817,0.6704,0.7693,2.17,0.188,2.4887,0.7522,0
48,F,Incomplete higher,Working,Civil marriage,Rented apartment,1,36275.67,277053.03,8352.71,299903.11,0.4985,0.8799,0.8816,0.63,0.2303,7.6372,0.7534,1
36,F,Higher education,Working,Married,House / apartment,1,112204.12,368002.49,20673.77,340743.79,0.8715,0.6839,0.9749,13.16,0.1842,3.2797,0.8434,0
